"","Year","gss_code","gss_name","SUM_ASFR_new","SUM_AgeXASFR_new","TFR","SMA","Inner","BoroughName","Inner_factor","year_numeric","year_factor","firstSMA","lastSMA","AbsChange_SMA","firstTFR","lastTFR","AbsChange_TFR"
"1","2021","E09000002","Barking and Dagenham",1.88322344614063,56.213725717146,1.88322344614063,30.3497376040783,0,"Barking and Dagenham","Outer",2021,"2021",27.0955379249712,30.3497376040783,3.25419967910714,2.04438654039667,1.88322344614063,-0.161163094256037
"2","2021","E09000003","Barnet",1.59559874323801,50.5438608787502,1.59559874323801,32.1770498177878,0,"Barnet","Outer",2021,"2021",29.9042294086938,32.1770498177878,2.272820409094,1.70079898560714,1.59559874323801,-0.10520024236913
"3","2021","E09000004","Bexley",1.65453936915356,51.2021742676026,1.65453936915356,31.4464828835092,0,"Bexley","Outer",2021,"2021",28.35006765699,31.4464828835092,3.09641522651921,1.75487737395552,1.65453936915356,-0.100338004801967
"4","2021","E09000005","Brent",1.57492384316635,48.7765502231532,1.57492384316635,31.4707357817944,0,"Brent","Outer",2021,"2021",28.9896299744327,31.4707357817944,2.48110580736176,1.79482497040617,1.57492384316635,-0.219901127239826
"5","2021","E09000006","Bromley",1.618221210975,51.7089269622972,1.618221210975,32.4541769762996,0,"Bromley","Outer",2021,"2021",29.1859260177369,32.4541769762996,3.26825095856276,1.72216568126349,1.618221210975,-0.103944470288483
"6","2021","E09000007","Camden",1.18639606075476,39.9688980863571,1.18639606075476,34.1893381632856,1,"Camden","Inner",2021,"2021",30.151546926447,34.1893381632856,4.0377912368386,1.3799364765453,1.18639606075476,-0.193540415790533
"7","2021","E09000008","Croydon",1.64392532969723,50.837516194859,1.64392532969723,31.4244679648693,0,"Croydon","Outer",2021,"2021",28.7176457865273,31.4244679648693,2.70682217834196,1.71161628204807,1.64392532969723,-0.0676909523508424
"8","2021","E09000009","Ealing",1.47530233213945,46.7055213511008,1.47530233213945,32.1582712123619,0,"Ealing","Outer",2021,"2021",29.1621281169807,32.1582712123619,2.99614309538117,1.75098386749177,1.47530233213945,-0.275681535352316
"9","2021","E09000010","Enfield",1.65842270518159,50.6722638623877,1.65842270518159,31.0544923523217,0,"Enfield","Outer",2021,"2021",28.6489968525754,31.0544923523217,2.40549549974628,1.7975086737047,1.65842270518159,-0.139085968523107
"10","2021","E09000011","Greenwich",1.50765349356146,47.6343883359036,1.50765349356146,32.0950505466471,0,"Greenwich","Outer",2021,"2021",27.814691648353,32.0950505466471,4.28035889829414,1.836667344458,1.50765349356146,-0.329013850896537
"11","2021","E09000012","Hackney",1.52041517139515,47.602458267687,1.52041517139515,31.8088550833167,1,"Hackney","Inner",2021,"2021",28.4045135632353,31.8088550833167,3.40434152008138,1.99768630883508,1.52041517139515,-0.477271137439925
"12","2021","E09000013","Hammersmith and Fulham",1.19043912234807,40.19294466193,1.19043912234807,34.2631248061236,1,"Hammersmith and Fulham","Inner",2021,"2021",29.9749258436555,34.2631248061236,4.2881989624681,1.38012069902859,1.19043912234807,-0.189681576680522
"13","2021","E09000014","Haringey",1.43060734389376,45.1404405145178,1.43060734389376,32.0533404097148,1,"Haringey","Inner",2021,"2021",29.0118259800403,32.0533404097148,3.0415144296745,1.71717456538169,1.43060734389376,-0.286567221487925
"14","2021","E09000015","Harrow",1.71963261975684,52.36963921518,1.71963261975684,30.9539694196922,0,"Harrow","Outer",2021,"2021",29.4480504338987,30.9539694196922,1.50591898579349,1.65034961343105,1.71963261975684,0.0692830063257859
"15","2021","E09000016","Havering",1.62926577317885,50.1197805049208,1.62926577317885,31.262188299784,0,"Havering","Outer",2021,"2021",28.5820139067389,31.262188299784,2.68017439304506,1.64485440243903,1.62926577317885,-0.0155886292601863
"16","2021","E09000017","Hillingdon",1.75770722194904,54.2056724029797,1.75770722194904,31.3388517303089,0,"Hillingdon","Outer",2021,"2021",28.7991857197471,31.3388517303089,2.53966601056184,1.74200112298388,1.75770722194904,0.0157060989651594
"17","2021","E09000018","Hounslow",1.58275906456082,48.8114529763011,1.58275906456082,31.3394714452924,0,"Hounslow","Outer",2021,"2021",28.417423301694,31.3394714452924,2.92204814359841,1.75970583585854,1.58275906456082,-0.176946771297724
"18","2021","E09000019","Islington",1.15590422964317,38.9910617618668,1.15590422964317,34.2320867611181,1,"Islington","Inner",2021,"2021",29.0776564183768,34.2320867611181,5.15443034274127,1.65017784082313,1.15590422964317,-0.494273611179959
"19","2021","E09000020","Kensington and Chelsea",1.1888916571305,40.6674325617544,1.1888916571305,34.7061720408647,1,"Kensington and Chelsea","Inner",2021,"2021",30.569390921285,34.7061720408647,4.13678111957964,1.31071243758008,1.1888916571305,-0.121820780449586
"20","2021","E09000021","Kingston upon Thames",1.44384062525708,47.268576262929,1.44384062525708,33.2380844090828,0,"Kingston upon Thames","Outer",2021,"2021",30.0312288932673,33.2380844090828,3.20685551581543,1.45292287452602,1.44384062525708,-0.0090822492689413
"21","2021","E09000022","Lambeth",1.14655762731388,38.1625146721893,1.14655762731388,33.7844278936029,1,"Lambeth","Inner",2021,"2021",28.6775572810876,33.7844278936029,5.10687061251527,1.67437869508317,1.14655762731388,-0.527821067769286
"22","2021","E09000023","Lewisham",1.40706415816845,45.0387046269989,1.40706415816845,32.5089914632073,1,"Lewisham","Inner",2021,"2021",28.414554854127,32.5089914632073,4.09443660908032,1.6524533252541,1.40706415816845,-0.245389167085656
"23","2021","E09000024","Merton",1.48883741975595,48.1771005266868,1.48883741975595,32.858872693154,0,"Merton","Outer",2021,"2021",29.3957069238259,32.858872693154,3.46316576932814,1.69643285198601,1.48883741975595,-0.207595432230057
"24","2021","E09000025","Newham",1.59518164522389,49.1319441633988,1.59518164522389,31.3002190913517,1,"Newham","Inner",2021,"2021",27.6427685298911,31.3002190913517,3.65745056146059,2.2754534027453,1.59518164522389,-0.68027175752141
"25","2021","E09000026","Redbridge",1.79332184917511,54.9107272177418,1.79332184917511,31.119560701276,0,"Redbridge","Outer",2021,"2021",28.8762712927141,31.119560701276,2.2432894085619,1.7660098571597,1.79332184917511,0.0273119920154112
"26","2021","E09000027","Richmond upon Thames",1.5760313915233,52.4675921408665,1.5760313915233,33.7909562735006,0,"Richmond upon Thames","Outer",2021,"2021",30.9547131402749,33.7909562735006,2.8362431332257,1.60226350428817,1.5760313915233,-0.026232112764869
"27","2021","E09000028","Southwark",1.15647121623457,38.7487850848849,1.15647121623457,34.0060523261872,1,"Southwark","Inner",2021,"2021",28.334941211714,34.0060523261872,5.67111111447316,1.81999266171777,1.15647121623457,-0.6635214454832
"28","2021","E09000029","Sutton",1.58609996604998,49.0077449997966,1.58609996604998,31.3982700011307,0,"Sutton","Outer",2021,"2021",28.8173839076091,31.3982700011307,2.58088609352159,1.72572801999993,1.58609996604998,-0.139628053949946
"29","2021","E09000030","Tower Hamlets",1.21619537753179,39.4445372231708,1.21619537753179,32.9327307535253,1,"Tower Hamlets","Inner",2021,"2021",27.5832890810191,32.9327307535253,5.34944167250626,2.28546773419691,1.21619537753179,-1.06927235666512
"30","2021","E09000031","Waltham Forest",1.64867818937755,51.9710441250939,1.64867818937755,32.0228553758665,0,"Waltham Forest","Outer",2021,"2021",28.280417088343,32.0228553758665,3.74243828752347,1.92854886181437,1.64867818937755,-0.279870672436818
"31","2021","E09000032","Wandsworth",1.21521188777829,41.3142670976022,1.21521188777829,34.4975830660569,1,"Wandsworth","Inner",2021,"2021",29.8396268284838,34.4975830660569,4.65795623757316,1.48985641983251,1.21521188777829,-0.274644532054224
"32","2021","E09000033","Westminster",1.10572103257098,37.4570733640844,1.10572103257098,34.375699440202,1,"Westminster","Inner",2021,"2021",30.1675902722889,34.375699440202,4.20810916791306,1.41213259906072,1.10572103257098,-0.306411566489733
