"","Date","Area_Code","Area_Name","Count","Mean","Lower_quartile","Median","Upper_quartile","Lower_quartile_num","Rentals_Cat"
"203",2630,"E07000149","South Norfolk",200,755,"695",750,"800",695,"300 -"
"204",NA,"E10000029","Suffolk",2590,779,"660",750,"850",660,"300 -"
"205",3505,"E07000200","Babergh",330,783,"705",768,"850",705,"300 -"
"206",3540,"E07000244","East Suffolk",650,684,"595",680,"775",595,"300 -"
"207",3515,"E07000202","Ipswich",780,701,"630",700,"760",630,"300 -"
"208",3520,"E07000203","Mid Suffolk",130,773,"715",775,"824",715,"300 -"
"209",3545,"E07000245","West Suffolk",700,953,"800",990,"1080",800,"300 -"
"210",NA,"E13000001","Inner London",7670,2131,"1575",1890,"2400",1575,"1350 -"
"211",5210,"E09000007","Camden",510,2319,"1850",2173,"2557",1850,"1650+"
"212",5030,"E09000001","City of London",20,2503,"2210",2500,"2750",2210,"1650+"
"213",5360,"E09000012","Hackney",330,1954,"1600",1850,"2175",1600,"1350 -"
"214",5390,"E09000013","Hammersmith and Fulham",460,2088,"1650",1950,"2427",1650,"1650+"
"215",5420,"E09000014","Haringey",500,1675,"1470",1600,"1842",1470,"1350 -"
"216",5570,"E09000019","Islington",320,2133,"1700",2043,"2400",1700,"1650+"
"217",5600,"E09000020","Kensington and Chelsea",1040,3174,"2400",2925,"3600",2400,"1650+"
"218",5660,"E09000022","Lambeth",560,1847,"1560",1750,"2000",1560,"1350 -"
"219",5690,"E09000023","Lewisham",650,1457,"1300",1450,"1600",1300,"1200 -"
"220",5750,"E09000025","Newham",590,1532,"1300",1450,"1675",1300,"1200 -"
"221",5840,"E09000028","Southwark",1060,1988,"1600",1850,"2250",1600,"1350 -"
"222",5900,"E09000030","Tower Hamlets",520,1984,"1675",1875,"2149",1675,"1650+"
"223",5960,"E09000032","Wandsworth",730,1911,"1600",1800,"2125",1600,"1350 -"
"224",5990,"E09000033","Westminster",400,3260,"2427",2925,"3672",2427,"1650+"
"225",NA,"E13000002","Outer London",10560,1433,"1250",1400,"1550",1250,"1200 -"
"226",5060,"E09000002","Barking and Dagenham",340,1266,"1200",1250,"1350",1200,"1200 -"
"227",5090,"E09000003","Barnet",1020,1524,"1365",1500,"1650",1365,"1350 -"
"228",5120,"E09000004","Bexley",290,1265,"1150",1250,"1400",1150,"300 -"
"229",5150,"E09000005","Brent",270,1513,"1350",1450,"1600",1350,"1350 -"
"230",5180,"E09000006","Bromley",980,1380,"1250",1350,"1500",1250,"1200 -"
"231",5240,"E09000008","Croydon",640,1274,"1168",1250,"1375",1168,"300 -"
"232",5270,"E09000009","Ealing",700,1591,"1400",1550,"1700",1400,"1350 -"
"233",5300,"E09000010","Enfield",330,1372,"1295",1350,"1450",1295,"1200 -"
"234",5330,"E09000011","Greenwich",690,1510,"1250",1450,"1700",1250,"1200 -"
"235",5450,"E09000015","Harrow",570,1386,"1275",1350,"1450",1275,"1200 -"
"236",5480,"E09000016","Havering",330,1238,"1150",1250,"1350",1150,"300 -"
"237",5510,"E09000017","Hillingdon",980,1321,"1200",1300,"1425",1200,"1200 -"
"238",5540,"E09000018","Hounslow",550,1517,"1275",1400,"1650",1275,"1200 -"
"239",5630,"E09000021","Kingston upon Thames",290,1496,"1300",1450,"1650",1300,"1200 -"
"240",5720,"E09000024","Merton",350,1644,"1350",1575,"1850",1350,"1350 -"
"241",5780,"E09000026","Redbridge",580,1364,"1250",1350,"1450",1250,"1200 -"
"242",5810,"E09000027","Richmond upon Thames",540,1753,"1500",1673,"1900",1500,"1350 -"
"243",5870,"E09000029","Sutton",490,1279,"1150",1250,"1400",1150,"300 -"
"244",5930,"E09000031","Waltham Forest",630,1449,"1300",1440,"1600",1300,"1200 -"
"245",335,"E06000036","Bracknell Forest UA",650,1076,"950",1050,"1200",950,"300 -"
"246",1445,"E06000043","Brighton and Hove UA",940,1367,"1175",1313,"1500",1175,"300 -"
"247",NA,"E06000060","Buckinghamshire",1270,1119,"950",1100,"1250",950,"300 -"
"248",2100,"E06000046","Isle of Wight UA",1090,703,"615",695,"775",615,"300 -"
"249",2280,"E06000035","Medway UA",960,915,"800",900,"1000",800,"300 -"
"250",435,"E06000042","Milton Keynes UA",820,1064,"950",1050,"1150",950,"300 -"
"251",1775,"E06000044","Portsmouth UA",1190,939,"795",895,"1000",795,"300 -"
"252",345,"E06000038","Reading UA",1870,1119,"950",1100,"1250",950,"300 -"
"253",350,"E06000039","Slough UA",320,1126,"1000",1100,"1250",1000,"300 -"
"254",1780,"E06000045","Southampton UA",1740,923,"825",900,"1000",825,"300 -"
"255",340,"E06000037","West Berkshire UA",580,1016,"875",975,"1150",875,"300 -"
"256",355,"E06000040","Windsor and Maidenhead UA",840,1297,"1150",1260,"1400",1150,"300 -"
"257",360,"E06000041","Wokingham UA",850,1081,"950",1070,"1200",950,"300 -"
"258",NA,"E10000011","East Sussex",1820,953,"814",925,"1100",814,"300 -"
"259",1410,"E07000061","Eastbourne",510,955,"850",950,"1050",850,"300 -"
"260",1415,"E07000062","Hastings",420,784,"660",795,"900",660,"300 -"
"261",1425,"E07000063","Lewes",330,1110,"975",1100,"1245",975,"300 -"
"262",1430,"E07000064","Rother",300,913,"775",875,"995",775,"300 -"
"263",1435,"E07000065","Wealden",280,1062,"875",995,"1200",875,"300 -"
"264",NA,"E10000014","Hampshire",6130,948,"840",925,"1042",840,"300 -"
"265",1705,"E07000084","Basingstoke and Deane",890,969,"895",950,"1050",895,"300 -"
"266",1710,"E07000085","East Hampshire",170,994,"895",972,"1100",895,"300 -"
"267",1715,"E07000086","Eastleigh",830,902,"845",895,"950",845,"300 -"
"268",1720,"E07000087","Fareham",540,896,"810",895,"950",810,"300 -"
"269",1725,"E07000088","Gosport",850,816,"725",800,"895",725,"300 -"
"270",1730,"E07000089","Hart",400,1061,"950",1050,"1150",950,"300 -"
"271",1735,"E07000090","Havant",320,889,"795",875,"990",795,"300 -"
"272",1740,"E07000091","New Forest",690,965,"825",900,"1025",825,"300 -"
"273",1750,"E07000092","Rushmoor",530,1011,"900",1000,"1150",900,"300 -"
"274",1760,"E07000093","Test Valley",290,976,"895",950,"1070",895,"300 -"
"275",1765,"E07000094","Winchester",620,1067,"900",1000,"1200",900,"300 -"
"276",NA,"E10000016","Kent",5380,964,"800",940,"1100",800,"300 -"
"277",2205,"E07000105","Ashford",520,939,"825",900,"1000",825,"300 -"
"278",2210,"E07000106","Canterbury",590,981,"850",953,"1100",850,"300 -"
"279",2215,"E07000107","Dartford",420,1163,"1015",1175,"1300",1015,"300 -"
"280",2220,"E07000108","Dover",410,738,"625",750,"838",625,"300 -"
"281",2250,"E07000112","Folkestone and Hythe",620,732,"600",695,"825",600,"300 -"
"282",2230,"E07000109","Gravesham",400,965,"850",950,"1050",850,"300 -"
"283",2235,"E07000110","Maidstone",580,956,"865",950,"1025",865,"300 -"
"284",2245,"E07000111","Sevenoaks",330,1280,"1050",1250,"1400",1050,"300 -"
"285",2255,"E07000113","Swale",290,890,"800",875,"950",800,"300 -"
"286",2260,"E07000114","Thanet",470,834,"710",800,"900",710,"300 -"
"287",2265,"E07000115","Tonbridge and Malling",330,1112,"975",1100,"1225",975,"300 -"
"288",2270,"E07000116","Tunbridge Wells",420,1177,"1000",1150,"1300",1000,"300 -"
"289",NA,"E10000025","Oxfordshire",2480,1174,"960",1150,"1335",960,"300 -"
"290",3105,"E07000177","Cherwell",460,1017,"875",995,"1148",875,"300 -"
"291",3110,"E07000178","Oxford",960,1376,"1200",1350,"1500",1200,"1200 -"
"292",3115,"E07000179","South Oxfordshire",430,1091,"935",1050,"1200",935,"300 -"
"293",3120,"E07000180","Vale of White Horse",440,1020,"875",975,"1125",875,"300 -"
"294",3125,"E07000181","West Oxfordshire",190,1081,"950",1017,"1150",950,"300 -"
"295",NA,"E10000030","Surrey",4410,1264,"1100",1250,"1395",1100,"300 -"
"296",3605,"E07000207","Elmbridge",540,1358,"1155",1300,"1500",1155,"300 -"
"297",3610,"E07000208","Epsom and Ewell",250,1274,"1100",1300,"1400",1100,"300 -"
"298",3615,"E07000209","Guildford",600,1321,"1150",1295,"1450",1150,"300 -"
"299",3620,"E07000210","Mole Valley",310,1233,"1100",1250,"1350",1100,"300 -"
"300",3625,"E07000211","Reigate and Banstead",490,1269,"1150",1250,"1350",1150,"300 -"
"301",3630,"E07000212","Runnymede",340,1260,"1150",1250,"1375",1150,"300 -"
"302",3635,"E07000213","Spelthorne",190,1287,"1150",1260,"1400",1150,"300 -"
"303",3640,"E07000214","Surrey Heath",390,1072,"925",1050,"1200",925,"300 -"
"304",3645,"E07000215","Tandridge",270,1242,"1100",1250,"1350",1100,"300 -"
"305",3650,"E07000216","Waverley",360,1214,"1050",1195,"1330",1050,"300 -"
"306",3655,"E07000217","Woking",660,1286,"1150",1295,"1400",1150,"300 -"
"307",NA,"E10000032","West Sussex",2930,1063,"930",1050,"1200",930,"300 -"
"308",3805,"E07000223","Adur",120,1112,"960",1100,"1250",960,"300 -"
"309",3810,"E07000224","Arun",390,960,"830",935,"1010",830,"300 -"
"310",3815,"E07000225","Chichester",430,1042,"900",1000,"1125",900,"300 -"
"311",3820,"E07000226","Crawley",410,1125,"1050",1100,"1200",1050,"300 -"
"312",3825,"E07000227","Horsham",710,1095,"955",1100,"1200",955,"300 -"
"313",3830,"E07000228","Mid Sussex",390,1075,"950",1050,"1200",950,"300 -"
"314",3835,"E07000229","Worthing",490,1048,"900",1000,"1165",900,"300 -"
"315",114,"E06000022","Bath and North East Somerset UA",1060,1170,"950",1150,"1300",950,"300 -"
"316",1260,"E06000058","Bournemouth, Christchurch and Poole",2780,954,"830",923,"1050",830,"300 -"
"317",116,"E06000023","Bristol, City of UA",1780,1266,"1100",1250,"1400",1100,"300 -"
"318",840,"E06000052","Cornwall UA",3210,758,"650",730,"825",650,"300 -"
"319",1265,"E06000059","Dorset",1160,824,"725",800,"900",725,"300 -"
"320",835,"E06000053","Isles of Scilly UA",10,628,"..",640,"..",NA,NA
"321",121,"E06000024","North Somerset UA",970,888,"725",855,"1000",725,"300 -"
"322",1160,"E06000026","Plymouth UA",1700,749,"650",725,"825",650,"300 -"
"323",119,"E06000025","South Gloucestershire UA",800,1011,"895",995,"1100",895,"300 -"
"324",3935,"E06000030","Swindon UA",1030,779,"725",775,"850",725,"300 -"
"325",1165,"E06000027","Torbay UA",660,724,"625",700,"800",625,"300 -"
"326",3940,"E06000054","Wiltshire UA",1610,801,"725",795,"863",725,"300 -"
"327",NA,"E10000008","Devon",3440,761,"650",740,"850",650,"300 -"
"328",1105,"E07000040","East Devon",660,738,"650",700,"800",650,"300 -"
"329",1110,"E07000041","Exeter",590,924,"800",895,"1000",800,"300 -"
"330",1135,"E07000042","Mid Devon",420,708,"650",700,"760",650,"300 -"
"331",1115,"E07000043","North Devon",360,694,"625",675,"750",625,"300 -"
"332",1125,"E07000044","South Hams",440,798,"700",775,"875",700,"300 -"
"333",1130,"E07000045","Teignbridge",490,767,"685",750,"850",685,"300 -"
"334",1145,"E07000046","Torridge",230,643,"575",650,"695",575,"300 -"
"335",1150,"E07000047","West Devon",250,659,"595",650,"725",595,"300 -"
"336",NA,"E10000013","Gloucestershire",1700,824,"710",795,"895",710,"300 -"
"337",1605,"E07000078","Cheltenham",500,931,"795",900,"1000",795,"300 -"
"338",1610,"E07000079","Cotswold",150,910,"795",875,"980",795,"300 -"
"339",1615,"E07000080","Forest of Dean",100,707,"600",695,"750",600,"300 -"
"340",1620,"E07000081","Gloucester",290,780,"725",775,"835",725,"300 -"
"341",1625,"E07000082","Stroud",310,790,"720",775,"850",720,"300 -"
"342",1630,"E07000083","Tewkesbury",360,736,"650",725,"800",650,"300 -"
"343",NA,"E10000027","Somerset",2480,754,"650",750,"825",650,"300 -"
"344",3305,"E07000187","Mendip",450,817,"700",800,"895",700,"300 -"
"345",3310,"E07000188","Sedgemoor",410,743,"650",733,"825",650,"300 -"
"346",3330,"E07000246","Somerset West and Taunton",740,757,"670",750,"840",670,"300 -"
"347",3325,"E07000189","South Somerset",890,725,"650",725,"785",650,"300 -"
"348",NA,"","Source: VOA’s administrative database as at 31 March 2023",NA,NA,"",NA,"",NA,NA
"349",NA,"","",NA,NA,"",NA,"",NA,NA
"350",NA,"","Table Notes",NA,NA,"",NA,"",NA,NA
"351",NA,"","Local authority codes and area codes1 can be viewed by clicking on the plus sign at the top of this column.",NA,NA,"",NA,"",NA,NA
"352",NA,"","",NA,NA,"",NA,"",NA,NA
"353",NA,"","Counts are rounded to the nearest 10, totals may not sum due to rounding.",NA,NA,"",NA,"",NA,NA
"354",NA,"","Statistics derived from fewer than 5 observations have been suppressed and denoted by '-', with mean and median shown as '..' when this is the case. ",NA,NA,"",NA,"",NA,NA
"355",NA,"","",NA,NA,"",NA,"",NA,NA
"356",NA,"","Statistics derived from fewer than 10 observations have been suppressed and denoted by '-', with lower and upper quartiles shown as '..' when this is the case. ",NA,NA,"",NA,"",NA,NA
"357",NA,"","",NA,NA,"",NA,"",NA,NA
"358",NA,"","For counts of 0, mean, lower and upper quartiles, and median are shown as '.'. ",NA,NA,"",NA,"",NA,NA
"359",NA,"","All averages and measures are expressed in £ values and rounded to the nearest £1",NA,NA,"",NA,"",NA,NA
"360",NA,"","",NA,NA,"",NA,"",NA,NA
"361",NA,"","Please Note",NA,NA,"",NA,"",NA,NA
"362",NA,"","The sample used to produce these statistics is not statistical and may not be consistent over time; as such, these data should not be compared across time periods or between areas.",NA,NA,"",NA,"",NA,NA
"363",NA,"","",NA,NA,"",NA,"",NA,NA
"364",NA,"","Housing Benefit claimants are not included in the sample.",NA,NA,"",NA,"",NA,NA
"365",NA,"","",NA,NA,"",NA,"",NA,NA
"366",NA,"","Area Code - a unique identifier for administrative geographies as specified by the Office for National Statistics (ONS).",NA,NA,"",NA,"",NA,NA
"367",NA,"","",NA,NA,"",NA,"",NA,NA
"368",NA,"","LA Code - a unique identifier for local authorities, metropolitan districts, the Council of the Isles of Scilly, unitary authorities, London boroughs and the City of London.",NA,NA,"",NA,"",NA,NA
"369",NA,"","",NA,NA,"",NA,"",NA,NA
"370",NA,"","Two Bedrooms - self-contained properties with two bedrooms including houses, bungalows, flats and maisonettes.",NA,NA,"",NA,"",NA,NA
"371",NA,"","",NA,NA,"",NA,"",NA,NA
"372",NA,"","Count of rents - the number of tenancies, of those collected in the sample, that were active within the stated time period.",NA,NA,"",NA,"",NA,NA
"373",NA,"","",NA,NA,"",NA,"",NA,NA
"374",NA,"","Mean - a measure of central tendency often referred to as the average. Given a series of values the arithmetic mean is calculated by summing all these values together and dividing by the count of these values.",NA,NA,"",NA,"",NA,NA
"375",NA,"","",NA,NA,"",NA,"",NA,NA
"376",NA,"","",NA,NA,"",NA,"",NA,NA
"377",NA,"","Median - when a series of numbers are arranged by order of magnitude the median represents the middle value. Where there is an even number of values the median is the mean of the two values closest to value in the centre of that distribution.",NA,NA,"",NA,"",NA,NA
"378",NA,"","",NA,NA,"",NA,"",NA,NA
"379",NA,"","",NA,NA,"",NA,"",NA,NA
"380",NA,"","Lower quartile - when a series of values are arranged by order of magnitude the lower quartile (or 25th percentile) is the value that splits the lowest 25 per cent of the data from the highest 75 per cent.",NA,NA,"",NA,"",NA,NA
"381",NA,"","",NA,NA,"",NA,"",NA,NA
"382",NA,"","Upper quartile - when a series of values are arranged by order of magnitude the upper quartile (or 75th percentile) is the value that splits the highest 25 per cent of the data from the lowest 75 per cent.",NA,NA,"",NA,"",NA,NA
"383",NA,"","",NA,NA,"",NA,"",NA,NA
"384",NA,"","",NA,NA,"",NA,"",NA,NA
"385",NA,"","Footnotes",NA,NA,"",NA,"",NA,NA
"386",NA,"","1 Geographical codes introduced by the Office for National Statistics January 2011.  For further information please visit the ONS website at the following location:",NA,NA,"",NA,"",NA,NA
"387",NA,"","",NA,NA,"",NA,"",NA,NA
"388",NA,"","https://www.ons.gov.uk/methodology/geography/ukgeographies/administrativegeography/england",NA,NA,"",NA,"",NA,NA
"389",NA,"","",NA,NA,"",NA,"",NA,NA
